time taken to blink	is	100	millisecond
time taken for lunch	is	30	minute
time taken for a basketball game	is	60	minute
time taken for a soccer game	is	90	minute
time taken for a football game	is	190	minute
time taken for a work day	is	8	hour
time taken to graduate college	is	4	year
average lifetime for a person	is	79	year
average lifetime for a dog	is	12	year
average lifetime for a tree	is	150	year
width of hair	is	100	micrometer
size of a pea	is	0.7	centimeter
length of a pen	is	17	centimeter
width of a dollar bill	is	2.61	inch
length of a dollar bill	is	6.14	inch
length of a guitar	is	3	feet
width of a car	is	71.4	inch
height of a person	is	5.8	feet
length of a car	is	4.7	meter
height of a tree	is	10	feet
a storey	is	10	feet
width of a basketball court	is	50	feet
length of a basketball court	is	94	feet
length of a football field	is	300	feet
length of a city block	is	360	feet
distance from Stanford to Mountain View	is	5.5	mile
distance from Stanford to San Francisco	is	37	mile
length of a track field	is	402	meter
height of Mount Everest	is	29029	feet
distance from San Francisco to Los Angeles CA	is	380	mile
distance from San Francisco to Boulder CO	is	1246	mile
distance from San Francisco to Dallas TX	is	1733	mile
distance from San Francisco to New York NY	is	2906	mile
distance from San Francisco to New York NY	is	2906	mile
distance from San Francisco to Beijing	is	5901	mile
diameter of the earth	is	7917	mile
distance of orbit for a satellite	is	36000	kilometer
distance from Earth to Moon	is	238900	mile
population of Stanford	is	16136	person
population of San Francisco	is	837422	person
population of New York	is	8400000	person
population of California	is	38800000	person
population of Texas	is	26960000	person
population of United States	is	319000000	person
population of Asia	is	4430000000	person
population of the world	is	7400000000	person
average number of employees in a grocery store	is	72	person
number of employees at Yelp	is	300	person
number of employees at Google	is	57000	person
number of employees at Microsoft	is	99000	person
number of employees at McKinsey	is	17000	person
number of employees in the oil industry	is	183000	person
number of employees in the construction industry	is	6500000	person
number of employees in the education industry	is	22270000	person
number of employees in the financial industry	is	8164000	person
number of employees in the mining industry	is	789000	person
number of employees in the manufacturing industry	is	12311000	person
number of employees in the services industry	is	19990000	person
number of employees in the retail industry	is	15790000	person
number of employees in the economy	is	156000000	person
number of employees on Medicare	is	49000000	person
number of employees on Medicare in California	is	5000000	person
number of people in poverty	is	39800000	person
average household size	is	2.54	person
global birth rate	is	353000	person per day
global death rate	is	5530000	person per year
birth rate in the US	is	4160000	person per year
death rate in the US	is	2560000	person per year
people killed during Iraq war	is	500000000	person
people killed during the September 11th attack	is	2997	person
people killed during world war II	is	60000000	person
people killed by gun violence in 2016	is	1498	person
number of cars registered	is	256000000	car
number of cars produced in 2011	is	2900000	car
number of cars in the world	is	1000000000	car
number of cars registered in California	is	31000000	car
number of dogs in US	is	78000000	dog
number of dogs in shelters	is	3900000	dog per year
number of guns in the US	is	310000000	gun
number of guns produced in the us	is	5500000	gun per year
average number of guns owned by a gun owner	is	4.4	gun
gun ownership	is	1.7	gun per person
coffee consumption	is	22.1	gallon per person per year
cost of a coffee	is	3	USD
average cost of food	is	80	USD per week
average food wasted every year	is	133000000	pound
weight of a toaster	is	1	kg
weight of a laptop	is	5	pound
weight of an elephant	is	6000	pound
olympic weight lifting record	is	263	kg
marijuana in a joint	is	1	gram
weight of a car	is	4000	pound
oil produced by the US	is	13900000	barrel per day  
oil produced by the world	is	80000000	barrel per day  
cost of a meal	is	12	USD
cost of a smartphone	is	500	USD
cost of a laptop	is	700	USD
cost of a new car	is	33500	USD
cost of a used car	is	15900	USD
average  cost of a house in the US	is	188900	USD
average cost of a house in California	is	440000	USD
average cost of a house in the Bay Area	is	1140000	USD
the construction cost of The Cosmopolitan in Las Vegas	is	4160000000	USD
the construction cost of One World Trade Center in New York	is	3800000000	USD
the construction cost of Bellagio in Las Vegas	is	2290000000	USD
the construction cost of Trump Taj Mahal in Atlantic City	is	1930000000	USD
the GDP of the US	is	16700000000000	USD
the GDP of California	is	1900000000000	USD
average gas mileage	is	25.4	mile per gallon
highway speed	is	65	mile per hour
speed of a baseball pitch speed	is	105	mile per hour
walking speed	is	3.1	mile per hour
average cost of gas	is	2.6	USD per gallon
median income	is	51900	USD per year
weight of a person	is	185	pound per person
an hour	is	1	hour
a minute	is	1	minute
a person	is	1	person
a day	is	1	day
a week	is	1	week
a car	is	1	car
Proton, 938.3 MeV/ c 2	is	1.673e-27	kg
Hydrogen atom, the lightest atom	is	1.674e-27	kg
DNA in a typical diploid human cell, approximate	is	6e-15	kg
Small grain of sand, 0.063 mm diameter, 350 nanograms	is	3.5e-10	kg
One eyebrow hair, approximate	is	7e-08	kg
Fruit fly, dry weight	is	2.44948974278318e-07	kg
Range of amounts of caffeine in one cup of coffee, 27–200 milligrams	is	7.34846922834953e-05	kg
US dollar bill, 1 gram	is	0.001	kg
Coins of one Euro and one U.S. dollar	is	0.008	kg
An orange, 100–200 grams	is	0.141	kg
