30586	time taken to blink	is	100	millisecond
30587	time taken for lunch	is	30	minute
30588	time taken for a basketball game	is	60	minute
30589	time taken for a soccer game	is	90	minute
30590	time taken for a football game	is	190	minute
30591	time taken for a work day	is	8	hour
30592	time taken to graduate college	is	4	year
30593	average lifetime for a person	is	79	year
30594	average lifetime for a dog	is	12	year
30595	average lifetime for a tree	is	150	year
30596	width of hair	is	100	micrometer
30597	size of a pea	is	0.7	centimeter
30598	length of a pen	is	17	centimeter
30599	width of a dollar bill	is	2.61	inch
30600	length of a dollar bill	is	6.14	inch
30601	length of a guitar	is	3	feet
30602	width of a car	is	71.4	inch
30603	height of a person	is	5.8	feet
30604	length of a car	is	4.7	meter
30605	height of a tree	is	10	feet
30606	a storey	is	10	feet
30607	width of a basketball court	is	50	feet
30608	length of a basketball court	is	94	feet
30609	length of a football field	is	300	feet
30610	length of a city block	is	360	feet
30611	distance from Stanford to Mountain View	is	5.5	mile
30612	distance from Stanford to San Francisco	is	37	mile
30613	length of a track field	is	402	meter
30614	height of Mount Everest	is	29029	feet
30615	distance from San Francisco to Los Angeles CA	is	380	mile
30616	distance from San Francisco to Boulder CO	is	1246	mile
30617	distance from San Francisco to Dallas TX	is	1733	mile
30618	distance from San Francisco to New York NY	is	2906	mile
30619	distance from San Francisco to New York NY	is	2906	mile
30620	distance from San Francisco to Beijing	is	5901	mile
30621	diameter of the earth	is	7917	mile
30622	distance of orbit for a satellite	is	36000	kilometer
30623	distance from Earth to Moon	is	238900	mile
30624	population of Stanford	is	16136	person
30625	population of San Francisco	is	837422	person
30626	population of New York	is	8400000	person
30627	population of California	is	38800000	person
30628	population of Texas	is	26960000	person
30629	population of United States	is	319000000	person
30630	population of Asia	is	4430000000	person
30631	population of the world	is	7400000000	person
30632	average number of employees in a grocery store	is	72	person
30633	number of employees at Yelp	is	300	person
30634	number of employees at Google	is	57000	person
30635	number of employees at Microsoft	is	99000	person
30636	number of employees at McKinsey	is	17000	person
30637	number of employees in the oil industry	is	183000	person
30638	number of employees in the construction industry	is	6500000	person
30639	number of employees in the education industry	is	22270000	person
30640	number of employees in the financial industry	is	8164000	person
30641	number of employees in the mining industry	is	789000	person
30642	number of employees in the manufacturing industry	is	12311000	person
30643	number of employees in the services industry	is	19990000	person
30644	number of employees in the retail industry	is	15790000	person
30645	number of employees in the economy	is	156000000	person
30646	number of employees on Medicare	is	49000000	person
30647	number of employees on Medicare in California	is	5000000	person
30648	number of people in poverty	is	39800000	person
30649	average household size	is	2.54	person
30650	global birth rate	is	353000	person per day
30651	global death rate	is	5530000	person per year
30652	birth rate in the US	is	4160000	person per year
30653	death rate in the US	is	2560000	person per year
30654	people killed during Iraq war	is	500000000	person
30655	people killed during the September 11th attack	is	2997	person
30656	people killed during world war II	is	60000000	person
30657	people killed by gun violence in 2016	is	1498	person
30658	number of cars registered	is	256000000	car
30659	number of cars produced in 2011	is	2900000	car
30660	number of cars in the world	is	1000000000	car
30661	number of cars registered in California	is	31000000	car
30662	number of dogs in US	is	78000000	dog
30663	number of dogs in shelters	is	3900000	dog per year
30664	number of guns in the US	is	310000000	gun
30665	number of guns produced in the us	is	5500000	gun per year
30666	average number of guns owned by a gun owner	is	4.4	gun
30667	gun ownership	is	1.7	gun per person
30668	coffee consumption	is	22.1	gallon per person per year
30669	cost of a coffee	is	3	USD
30670	average cost of food	is	80	USD per week
30671	average food wasted every year	is	133000000	pound
30672	weight of a toaster	is	1	kg
30673	weight of a laptop	is	5	pound
