Rank 	Building 	City 	Country 	Architect/designer 	Current owner(s) 	Height 	Floors 	Built 	Construction cost (US$/sq meter) 	Total construction cost (billion US$) 	Construction cost (adjusted for inflation—2012 dollars) (billion US$)
8 	The Cosmopolitan 	Las Vegas 	 United States of America 	Friedmutter Group with Arquitectonica 	The Blackstone Group 	184 metres (604 ft) 	52 	2010 	6307 	3.90[7] 	4.16
9 	One World Trade Center 	New York 	 United States of America 	David Childs (Skidmore, Owings & Merrill) 	The Port Authority of New York and New Jersey 	541 metres (1,775 ft) 	104 	2012 	15732 	3.80[8] 	3.80
10 	Wynn Resort 	Las Vegas 	 United States of America 	Butler/Ashworth Architects, Jerde Partnership 	Wynn Resorts 	187 metres (614 ft) 	45 	2005 	3103 	2.70[9] 	3.26
14 	Bellagio 	Las Vegas 	 United States of America 	DeRuyter Butler and Atlandia Design 	Bellagio(MGM Resorts International is the owner of the company) 	151 metres (495 ft) 	36 	1998 	3588 	1.60 	2.29
17 	The Palazzo 	Las Vegas 	 United States of America 	HKS, Inc. 	Las Vegas Sands 	196 metres (643 ft) 	50 	2007 	2788 	1.80 	2.05
18 	Taipei 101 	Taipei 	 Taiwan 	C.Y. Lee & Partners 	Taipei Financial Center Corporation 	509 metres (1,670 ft) 	101 	2004 	9307 	1.80 	2.00
19 	Trump Taj Mahal 	Atlantic City, New Jersey 	 United States of America 	Francis Xavier Dumont 	Trump Entertainment Resorts 	135 metres (443 ft) 	42 	1990 	n.a 	1.10[12] 	1.93
20 	Wembley Stadium 	London 	 UK 	Foster and Partners 	The Football Association 	133 metres (436 ft) 	5 	2006 	n.a. 	1.50 	1.84
21 	Yankee Stadium 	New York 	 United States of America 	Populous 	New York Yankees 	61 metres (200 ft) 	5 	2009 	12230 	1.50 	1.63
22 	Petronas Twin Towers 	Kuala Lumpur 	 Malaysia 	César Pelli 	KLLC Holdings 	452 metres (1,483 ft) 	88 	1999 	4051 	1.16 	1.6
24 	Burj Khalifa 	Dubai 	 United Arab Emirates 	Adrian Smith (SOM) 	Emaar Properties 	828 metres (2,717 ft) 	163 	2010 	4847 	1.50 	1.55
